,Uniprot,PDB
5421,O60231,6FF7
5498,O60508,5MQF
5504,O60508,6FF7
5505,O60508,6ICZ
5507,O60508,6ID1
5591,P12956,3RZX
5610,Q9NW64,5MQF
5616,Q9NW64,6FF7
5617,Q9NW64,6ICZ
5619,Q9NW64,6ID1
5707,O60763,2W3C
5780,P07900,2BUG
5784,P07900,2C2L
6280,P49792,4GA0
6314,P52292,1QGK
6315,P52292,1QGR
6316,P52292,3FEX
6317,P52292,3FEY
6318,P52292,3WPT
6319,P52292,4E4V
6320,P52292,4WV6
6321,P52292,5H43
6384,Q9UKF6,6V4X
6480,Q9H074,3RK6
6861,P10636,4Y32
6862,P10636,4Y3B
6863,P10636,4Y5I
6889,P10636,6FBW
6890,P10636,6FI5
6967,O95926,5MQF
6970,O95926,6ICZ
6972,O95926,6ID1
7147,P42771,1A5E
7148,P42771,1BI7
7149,P42771,1DC2
7150,P42771,2A5E
7194,P07305,6N89
7231,O75643,6AH0
7233,O75643,6FF7
7234,O75643,6ICZ
7277,Q9ULR0,6FF7
7284,P0DMV8,1XQS
7296,P0DMV8,3Q49
7376,Q9P2I0,6V4X
7381,Q9UIV1,4GMJ
7557,Q9Y3B4,6AH0
7560,Q9Y3B4,6FF7
7744,O43432,1HU3
7767,Q16630,6GX9
8058,O75533,6AH0
8062,O75533,6FF7
8090,Q96DI7,5MQF
8097,Q96DI7,6AH0
8099,Q96DI7,6FF7
8100,Q96DI7,6ICZ
8102,Q96DI7,6ID1
8387,Q9Y5S9,6ICZ
8542,P62826,1IBR
8543,P62826,1K5D
8544,P62826,1K5G
8545,P62826,1QBK
8551,P62826,3EA5
8559,P62826,3GJX
8560,P62826,3NBY
8561,P62826,3NBZ
8562,P62826,3NC0
8563,P62826,3NC1
8564,P62826,3ZJY
8565,P62826,4C0Q
8566,P62826,4GMX
8567,P62826,4GPT
8568,P62826,4HAT
8569,P62826,4HAU
8570,P62826,4HAV
8571,P62826,4HAW
8572,P62826,4HAX
8573,P62826,4HAY
8574,P62826,4HAZ
8575,P62826,4HB0
8576,P62826,4HB2
8577,P62826,4HB3
8578,P62826,4HB4
8579,P62826,4OL0
8587,P62826,5DH9
8588,P62826,5DHA
8589,P62826,5DHF
8590,P62826,5DI9
8591,P62826,5DIF
8592,P62826,5DIS
8595,P62826,5JLJ
8596,P62826,5UWH
8597,P62826,5UWI
8598,P62826,5UWJ
8599,P62826,5UWO
8600,P62826,5UWP
8601,P62826,5UWQ
8602,P62826,5UWR
8603,P62826,5UWS
8604,P62826,5UWT
8605,P62826,5UWU
8606,P62826,5UWW
8607,P62826,5YRO
8608,P62826,5YST
8609,P62826,5YSU
8610,P62826,5YTB
8611,P62826,5ZPU
8612,P62826,6A38
8613,P62826,6A3A
8617,P62826,6CIT
8772,P62805,5JA4
8909,O95777,6AH0
9038,Q9UBU9,1FO1
9039,Q9UBU9,1FT8
9043,Q9UBU9,1KOH
9044,Q9UBU9,1KOO
9046,Q9UBU9,2Z5K
9047,Q9UBU9,2Z5M
9048,Q9UBU9,3RW6
9049,Q9UBU9,3RW7
9050,Q9UBU9,4WYK
9142,Q9UBQ5,1RZ4
9207,P84077,4HMY
9208,P84077,6CM9
9209,P84077,6CRI
9210,P84077,6D83
9211,P84077,6D84
9212,P84077,6DFF
9228,Q14562,5MQF
9233,Q14562,6ICZ
9236,Q14974,1IBR
9238,Q14974,1O6O
9239,Q14974,1O6P
9240,Q14974,1QGK
9241,Q14974,1QGR
